id,name
23,Weekend Away
24,Water Activities
25,Tours
26,Theme & Amusement Parks
27,Theatre
28,Sport & Leisure
29,Sport Events
30,Play Centres
31,Parks & Garden
32,Outdoor Activities
33,Other
34,Nature Walks
35,Museums & Exhibitions
36,Live Shows
37,Landmarks & Monuments
38,Indoor Activities
39,Holidays
40,Historic Houses & Castles
41,General
42,Food & Drinks
43,Family Attractions
44,Educational
45,Day Trips
46,Culture & History
47,Concerts
48,Arts & Craft
49,Animal and Wildlife
50,Adventure Activities
51,Christmas
52,Family
53,Friends
54,Birthday Party
55,Special Occasions
