id,user_id,plan_id,stripe_subscription_id,subscription_amount,activation_date,expire_date,active,pending_cancel,created_at
5,17,1,sub_1PLAF0RxATCgI2FWqsgt00wY,0.00,1970-01-21 03:54:02,2026-05-28 03:33:58,1,0,2024-05-28 03:33:59
10,29,1,sub_1PKozsRxATCgI2FWGUUgQoyJ,39.95,1970-01-21 03:52:40,2025-05-27 04:52:56,1,0,2024-05-27 04:53:01
11,1,1,sub_1PLAGiRxATCgI2FWCGMzOmdt,0.00,1970-01-21 03:54:02,2026-05-28 03:35:44,1,0,2024-05-28 03:35:46
22,77,1,sub_1PLvYnRxATCgI2FWaJBjNN5U,0.00,2024-06-13 09:55:07,2026-05-30 06:05:33,1,1,2024-05-30 06:05:34
44,76,1,sub_1PQp56BMhRW3cU8sGzSfdVEo,0.00,2024-06-12 15:11:09,2026-06-12 15:11:08,1,0,2024-06-12 15:11:09
45,28,1,sub_1PQp6oBMhRW3cU8s2tfznJQl,0.00,2024-06-12 15:12:55,2026-06-12 15:12:54,1,0,2024-06-12 15:12:55
95,53,1,sub_1PaBO8RxATCgI2FWhn8znZvn,0.00,1970-01-20 21:53:41,2026-07-08 06:49:28,1,0,2024-07-08 06:49:30
98,188,1,sub_1PbvKGRxATCgI2FWQ1gCW90Y,0.00,1970-01-20 22:00:36,2026-07-13 02:04:40,1,0,2024-07-13 02:04:42
117,212,1,sub_1QCM6ORxATCgI2FWHRtZHKg9,0.00,1970-01-21 00:25:19,2026-10-21 13:56:56,1,0,2024-10-21 13:56:58
148,266,2,sub_1Rvl0xRxATCgI2FWkwtTzZ6v,4.95,1970-01-21 08:59:46,2025-11-13 20:11:15,1,0,2025-08-13 20:11:53
149,267,3,0,0.00,2025-08-24 22:40:34,2034-12-30 00:00:00,1,0,2025-08-24 22:40:34
