id,email_new_event_notification,email_update_event_notification,email_new_comment_notification,sort,user_id
1,1,0,1,"",43
2,1,0,1,"",45
3,1,0,1,"",50
5,1,0,1,"",44
7,1,0,1,"",40
8,1,1,1,LATEST,17
9,0,0,0,"",29
11,0,0,0,"",1
12,1,0,1,"",47
13,1,0,1,"",38
14,1,0,1,"",39
18,1,1,1,ASC,53
19,1,0,1,"",49
20,1,0,1,"",46
21,1,0,1,"",41
22,1,0,1,"",51
23,1,0,1,"",28
24,1,0,1,"",48
26,1,0,1,"",56
27,1,0,1,"",57
28,1,0,1,"",58
29,1,0,1,"",59
30,1,1,1,"",60
31,1,1,1,"",61
32,1,1,1,"",62
33,1,1,1,"",63
34,1,1,1,"",64
35,1,1,1,"",65
36,1,1,1,"",66
37,1,1,1,"",67
38,1,1,1,"",68
39,1,1,1,"",69
40,1,1,1,"",70
41,1,1,1,"",71
42,1,1,1,"",72
43,1,1,1,"",73
44,1,1,1,"",74
45,1,1,1,"",75
46,1,1,1,"",76
47,1,1,1,LATEST,77
51,1,1,1,"",87
52,1,1,1,"",88
55,1,1,1,"",91
57,1,1,1,"",94
59,1,1,1,"",96
60,1,1,1,"",97
61,1,1,1,"",98
62,0,0,1,"",99
63,1,1,1,"",100
64,1,1,1,"",101
65,1,1,1,"",102
66,1,1,1,"",103
68,1,1,1,"",105
69,1,1,1,"",106
70,1,1,1,"",107
71,1,1,1,"",108
72,1,1,1,"",109
74,1,1,1,"",111
75,1,1,1,"",112
76,1,1,1,"",113
77,1,1,1,"",114
80,1,1,1,"",119
85,1,1,1,"",124
86,1,1,1,"",125
87,1,1,1,"",126
88,1,1,1,"",127
89,1,1,1,"",128
90,1,1,1,"",129
91,1,1,1,"",130
102,1,1,1,DESC,165
106,1,1,1,DESC,169
109,1,1,1,DESC,172
110,1,1,1,DESC,173
118,1,1,1,DESC,181
121,1,1,1,DESC,184
124,1,1,1,DESC,187
125,1,1,1,DESC,188
126,1,1,1,DESC,189
127,1,1,1,DESC,190
128,1,1,1,DESC,191
129,1,1,1,DESC,192
130,1,1,1,DESC,193
131,1,1,1,DESC,194
132,1,1,1,DESC,195
133,1,1,1,DESC,196
134,1,1,1,DESC,197
135,1,1,1,DESC,198
136,1,1,1,DESC,199
137,1,1,1,DESC,200
138,1,1,1,DESC,201
139,1,1,1,DESC,202
141,1,1,1,DESC,204
142,1,1,1,DESC,205
143,1,1,1,DESC,206
144,1,1,1,DESC,207
145,0,0,0,DESC,208
146,1,1,1,DESC,209
147,1,1,1,DESC,210
148,1,1,1,DESC,211
149,1,1,1,DESC,212
150,1,1,1,DESC,213
151,1,1,1,DESC,214
152,1,1,1,DESC,215
153,1,1,1,DESC,216
154,1,1,1,DESC,217
155,1,1,1,DESC,218
156,1,1,1,DESC,219
157,1,1,1,DESC,220
159,1,1,1,DESC,222
160,1,1,1,DESC,223
161,1,1,1,DESC,224
162,1,1,1,DESC,225
163,1,1,1,DESC,226
164,1,1,1,DESC,227
165,1,1,1,DESC,228
166,1,1,1,DESC,229
167,1,1,1,LATEST,230
168,1,1,1,DESC,231
169,1,1,1,DESC,232
170,1,1,1,DESC,233
171,1,1,1,DESC,234
172,1,1,1,DESC,235
173,1,1,1,DESC,236
174,1,1,1,DESC,237
175,1,1,1,DESC,238
176,1,1,1,DESC,239
178,1,1,1,DESC,241
179,1,1,1,DESC,242
180,1,1,1,DESC,243
181,1,1,1,DESC,244
182,1,1,1,DESC,245
184,1,1,1,DESC,247
185,1,1,1,DESC,248
186,1,1,1,DESC,249
187,1,1,1,DESC,250
188,1,1,1,DESC,251
189,1,1,1,DESC,252
190,1,1,1,DESC,253
191,1,1,1,DESC,254
193,1,1,1,DESC,256
195,1,1,1,DESC,258
197,1,1,1,DESC,260
199,1,1,1,DESC,262
200,1,1,1,DESC,263
201,1,1,1,DESC,264
202,1,1,1,DESC,265
203,1,1,1,DESC,266
204,1,1,1,DESC,267
